song name,genre,artist name,artist country
Flash,,Latitude Air,
Stamp,,Latitude Air,
Bee,,Latitude Air,
Harpoon,,Latitude Air,
Monday,,Latitude Air,
Weekend,,Latitude Air,
Fury,,Latitude Air,
Fifo,,Latitude Air,
Bet,,Latitude Air,
Home,,Riiitt,
Bedroom,,Riiitt,
Salt,,Riiitt,
Pepper,,Riiitt,
Ppp,,Riiitt,
Idk,,Riiitt,
Blast,,Riiitt,
Trim,,Riiitt,
Bold,,Riiitt,
Blm,,Riiitt,
Rain,House,Hypnotix Rain,
Cultivate,House,Hypnotix Rain,
Eternal Witness,House,Hypnotix Rain,
The Beast Within,House,Hypnotix Rain,
Tribe Elder,House,Hypnotix Rain,
Rampant Growth,House,Hypnotix Rain,
Reclamation,House,Hypnotix Rain,
Sage,House,Hypnotix Rain,
Paradise,House,Hypnotix Rain,
Mystic,House,Hypnotix Rain,
Slime,House,Hypnotix Rain,
Grip,House,Hypnotix Rain,
Avenger,House,Hypnotix Rain,
Heroic,House,Hypnotix Rain,
Resurgent,House,Hypnotix Rain,
Saber,Music,Hypnotix Rain,
Harmonize,Music,Hypnotix Rain,
Muse,Music,Hypnotix Rain,
Harrow,Music,Hypnotix Rain,
Tutor,Music,Hypnotix Rain,
Expertise,Music,Hypnotix Rain,
Guardian,Music,Hypnotix Rain,
Exoskeleton,Music,Hypnotix Rain,
Whisperer,Music,Hypnotix Rain,
Bestiary,Music,Hypnotix Rain,
Revelation,Music,Hypnotix Rain,
Courser,Music,Hypnotix Rain,
Cyberpunk,Techno,Exelite,
Oracle,Techno,Exelite,
Regrowth,Techno,Exelite,
Season,Techno,Exelite,
Stampede,Techno,Exelite,
Exploration,Techno,Exelite,
Harvester,Techno,Exelite,
Elemental Bond,Techno,Exelite,
Devastation,Techno,Exelite,
Parallel,Techno,Exelite,
Tempest,Techno,Exelite,
Tireless,Techno,Exelite,
Retribution,Music,Shierkmaw,
Sacrifice,Music,Shierkmaw,
Spear,Music,Shierkmaw,
Spiritual Monk,Music,Shierkmaw,
Touched by Light,Music,Shierkmaw,
Zeus' Trident,Music,Shierkmaw,
Angels,Music,Shierkmaw,
ArchAngel,Music,Shierkmaw,
Asteroid,Music,Shierkmaw,
Energy Fuel,Music,Shierkmaw,
Godly Strength,Music,Shierkmaw,
Heaven,Music,Shierkmaw,
Holy Priest,Music,Shierkmaw,
Kanaxia,Music,Shierkmaw,
Light's Reward,Music,Shierkmaw,
Olympus Rest,Music,Shierkmaw,
Princess,Music,Shierkmaw,
Protection Paladin,Music,Shierkmaw,
Rain,Music,Shierkmaw,
Respect of the elders,Music,Shierkmaw,
I Can See Clearly Now - Edit,,Johnny Nash,US
Big Yellow Taxi,,Counting Crows,US
New Soul,,Yael Naim,
Haven't Met You Yet,"Smooth Jazz,Adult Contemporary,Pop",Michael Bubl√©,CA
Just My Imagination (Running Away With Me),"Motown,Soul,R&B/Soul",The Temptations,US
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",,Amy Winehouse,GB
I Love You Always Forever,Pop,Betty Who,AU
Sugar Mouse,"Alternative,Pop","Oh, Atoms",
Toothpaste Kisses,"Pop,Alternative",The Maccabees,GB
Baby I'm Yours,"Indie Rock,Alternative",Arctic Monkeys,GB
How Deep Is Your Love,"Electronic,Jazz,Adult Alternative",the bird and the bee,US
From Eden,Alternative,Hozier,
Rollerblades,Pop,Eliza Doolittle,GB
Little Bitty Pretty One,,Bobby Day,US
Balay Ni Mayang,,Martina San Diego,
The Show,,Lenka,AU
Joy To The World,Rock,Three Dog Night,US
Good Lovin',Rock,The Rascals,US
Smile - Acoustic,,Lily Allen,GB
Sh-Boom (Life Could Be a Dream) - Live,Rock,Sha Na Na,US
You Are My Sunshine,"Singer/Songwriter,Singer/Songwriter",Kina Grannis,US
It's Not Unusual,Pop,Tom Jones,GB
Java Jive,Rock,The Ink Spots,US
Oogum Boogum Song,R&B/Soul,Brenton Wood,US
Don't You Worry About A Thing,Latin,Black Sugar,PE
Rocky Raccoon,,Scary Pockets,
He Mele No Lilo,,Mark Keali'i Ho'omalu,
Escape (The Pina Colada Song),,Jack Johnson,US
No Such Thing,"Pop/Rock,Adult Alternative,Singer/Songwriter,Pop,Alternative,Rock",John Mayer,
World of Our Own,Pop,Westlife,
More Today Than Yesterday - Single Version,,Spiral Starecase,
Lovebug,"Pop,Rock,Pop/Rock",Jonas Brothers,US
Le Festin,,Camille,FR
Over the Rainbow,,Israel Kamakawiwo'ole,US
Love (Remaster),Pop,Matt White,US
Rich Girl,Pop,Daryl Hall & John Oates,
Up&Up,"Pop,Alternative,Britpop",Coldplay,GB
On My Way,"Soundtrack,Soundtrack",Phil Collins,
Never Let Her Slip Away,"Rock,Pop",Andrew Gold,US
Oh Happy Day,Pop,Musical Mania,
Passenger Seat,Pop,Stephen Speaks,US
Army - Orchestral Abbey Road Performance / Live,Pop,Ellie Goulding,GB
Underneath It All - Acoustic Live - German Radio,Rock,No Doubt,US
She's So Lovely,Pop,Scouting For Girls,GB
Plateaus,Alternative,Morten Lava,
Anyone Else But You,Singer/Songwriter,The Moldy Peaches,US
Love Today,Pop,MIKA,GB
Big Girl (You Are Beautiful),Pop,MIKA,GB
Grace Kelly,Pop,MIKA,GB
Sunny Day (Sesame Street Theme),,Antonio Serrano,
The Morning After,Soundtrack,Jem Cubil & Andrea Babierra,
Made to Fall in Love,,Daniel Caesar,
I Wanna Love You,Alternative,Just Friends,
My Baby Loves Lovin',Pop,White Plains,GB
Going to the Chapel,Alternative,Terzett Mundwerk,
Zip-A-Dee-Doo-Dah,Jazz,Louis Armstrong,US
Lemonade,R&B/Soul,Jeremy Passion,
Honey Baby,Reggae,Three Plus,
clich√©,,mxmtoon,
It's A Beautiful Morning,"Rock,Pop",The Wipe Outs,
Mornings,"Music,Singer/Songwriter",The Boy from the South,
Grow Old With You,Singer/Songwriter,Joseph Vincent,
Claire de Lune,World,Harry Kalahiki,
Late Night,Electronic,ODESZA,
Something Comforting,Music,Porter Robinson,US
Keep It Simple (feat. Wilder Woods),Music,Matoma,
HEART ATTACK (feat. lau.ra),Music,BRONSON,
Lionhearted,Electronic,Porter Robinson,US
I Leave Again,Electronic,Petit Biscuit,
You & Me - Flume Remix,,Disclosure,GB
Trap - Rompasso Remix,Music,SAINt JHN,
Right Time,"Music,Dance",Hayden James,
Innerbloom (Radio Edit),"Music,Electronic",R√úF√úS DU SOL,
Indian Summer,Electronic,Jai Wolf,
Nightcrawler,"Music,Rock",Duke Dumont,
Shelter,"Music,Electronic",Porter Robinson,US
Body Pump,Pop,Aluna,
Chameleon,Dance,PNAU,AU
Panic Room,House,Au/Ra,
Treat You Better - Single Edit,"Electronic,Dance",R√úF√úS DU SOL,
Sunlight (feat. Years and Years) - Radio Edit,,The Magician,BE
Juvenile,Electronic,The Blaze,
Details (feat. Boy Matthews),,Oliver Heldens,NL
Warrior,,Aluna,
Changa - Blanke Remix,"Electronic,Dance",PNAU,AU
Freedom,,Kygo,
No Place,,R√úF√úS DU SOL,
Hey Alligator,Dance,Galantis,SE
Turn off the Lights (feat. Alexis Roberts),Dance,Chris Lake,
Hold On (feat. Cheat Codes) - 2020 Edit,,MOGUAI,
Sparking My Fire (feat. ROE),"Electronic,Electronic",SACHI,
Holy Water,Music,Galantis,SE
Midnight City - Eric Prydz Private Remix,"Dance,Alternative",M83,FR
Jubel,,Klingande,
Spectrum (Say My Name) - Calvin Harris Remix,Alternative,Florence + The Machine,GB
More Than Love,,Shapov,
Easy - Radio Edit,Dance,Mat Zo,GB
Beautiful,,Kygo,
Ching Ching,Dance,Wolfgang Gartner,US
All of You,Pop,Betty Who,AU
You,Dance,Galantis,SE
Tether (Eric Prydz Vs. CHVRCHES) - Radio Edit,Dance,Eric Prydz,
Language,Dance,Porter Robinson,US
The Truth,,Kygo,
Don't Stop,,David Solomon,
Before U,,Sonny Fodera,
Thief,Dance,Ookay,
I'm Not Alright - EDX's Dubai Skyline Remix,Music,Loud Luxury,
Ocean Drive,Rock,Duke Dumont,GB
Say It - Illenium Remix,,Flume,
Midnight (The Hanging Tree),,HOSH,
Go Bang,Dance,PNAU,AU
Nights Like This,Music,Loud Luxury,
In My Head (ft. RKCB),,Steve James,
Bad,"Music,Dance",Don Diablo,
I'm Not Alone - 2009 Remaster,Electronic,Calvin Harris,GB
Pumped Up,Music,Klingande,
Best Friend,,Sofi Tukker,
Cola,Dance,CamelPhat,
Say It,"Electronic,Electronic",Phantoms,
Let Me Take You There (feat. Laura White),Music,Max Styler,
See The End,Dance,Above & Beyond,
Gotta Know,House,Andy Bianchini,
I Got U,Dance,Duke Dumont,GB
Fun,Electronic,Kaskade,US
Hello (feat. Dragonette),Dance,Martin Solveig,
Gold Dust,Dance,Galantis,SE
Nobody Like You - Sun Soaked Mix,Dance,Kaskade,US
Bullit,,Waterm√§t,
Good Enough (Michael Brun x The Ready Set),Dance,The Ready Set,US
No Lie,"Music,Electronic",Michael Calfan,
Think About You,,Kygo,
Faith (with Dolly Parton) [feat. Mr. Probz],,Galantis,
The Veldt (feat. Chris James) - Radio Edit,,deadmau5,
Tie Me Down (with Elley Duh√©),Dance,Gryffin,
Bam Bam,"Dancehall,Reggae",Sister Nancy,JM
"You Don't Love Me (No, No, No) - Extended Mix",Pop,Dawn Penn,JM
Pass The Dutchie,"Tribute,Rock",Musical Youth,GB
Punanny Medley,,Elephant Man,
It Wasn't Me,Reggae,Shaggy,SE
Romping Shop,Modern Dancehall,Vybz Kartel,JM
She's Royal,Reggae,Tarrus Riley,JM
Who Am I,Reggae,Beenie Man,JM
She Say A Yah So Nice,,Potential Kid,
Salty Tic Toc,Reggae,Yerry Solis,
My Money Ha Ha,,Merital Family,
Stukie,,QQ,
Likes,Reggae,Chronixx,JM
Life (Is What You Make of It),"Music,Reggae",Frighty,
Heads High,Reggae,Mr. Vegas,JM
Text Message,Reggae,Busy Signal,JM
Girls Dem Sugar,Reggae,Beenie Man,JM
Nah Let Go,Reggae,Vybz Kartel,JM
Just a Little Bit,World,Destra,
Beautiful,Reggae,Damian Marley,JM
Ola,Modern Dancehall,Olatunji,
Call Mi A Yardie,,Stylo G,GB
Throat,Modern Dancehall,Gage,
Memories,Reggae,Beenie Man,JM
Dumpa Truck (That Sweet Yuh),Reggae,Vybz Kartel,JM
Missing You,Reggae,Sanchez,JM
Bad Man Forward,,DING DONG,JM
Ganja Farmer,Reggae,Marlon Asher,
Clean,"Modern Dancehall,Reggae",Popcaan,JM
Lucy,World,Destra,
Hold You - Hold Yuh,Reggae,Gyptian,JM
I'm Drinking / Rum & Red Bull,,Beenie Man,
Bam Bam,Reggae,Chaka Demus & Pliers,JM
Click Mi Finger,Reggae,Erup,
Needle Eye,Reggae,Spice,
Only Man She Want,"Modern Dancehall,Reggae",Popcaan,JM
Frenzy,Reggae,Sanchez,JM
Dude,"Reggae,Pop",Beenie Man,JM
Broad Out - Raw,Modern Dancehall,RDX,JM
Pon de Replay,,Rihanna,GB
Wine Pon It - Spicy Reggae Mix,,Munga,JM
Party Shot,"Modern Dancehall,Reggae",Popcaan,JM
Walk Like a Dog,Reggae,Radijah,
Goodas Mi Back Mi Back,,Tony Matterhorn,JM
Like Glue,"Pop,R&B/Soul,Reggae",Sean Paul,
Always,"Modern Dancehall,Reggae",Gaza Slim,
Worthless Bwoy,Reggae,Bounty Killer,JM
Nuttin Nuh Go So,,Notch,US
Bounce Along,,Wayne Wonder,
Dutty Wine,Reggae,Tony Matterhorn,JM
Gal a Get More,,Vybz Kartel,JM
So Special,Reggae,Mavado,JM
Tek Weh Yuhself,Reggae,Mr. Vegas,JM
Suspense,Reggae,Bounty Killer,JM
Bend Ova,Reggae,RDX,JM
No Games,Reggae,Serani,JM
Ghetto Story,,Cham,
Romie,Reggae,Beenie Man,JM
Bedroom Bully,Reggae,Busy Signal,JM
Bicycle (Raw),,Vybz Kartel,JM
Settle Down (Destiny),Reggae,Mavado,JM
Tight Up Skirt,Reggae,Red Rat,JM
Pon Di Cocky,Reggae,Aidonia,JM
Wine and Jiggle,Reggae,I-Octane,
Kotch,"Modern Dancehall,Reggae",RDX,JM
Unknown Number,Reggae,Busy Signal,JM
Bad From Mi Born,Reggae,Munga,JM
Bruck It Down,Reggae,Mr. Vegas,JM
Gimme the Light,"Pop,Reggae",Sean Paul,
Pon De River Pon De Bank,Reggae,Elephant Man,JM
Dye Dye (Raw),Reggae,Macka Diamond,JM
Bruk Off Yuh Back,Reggae,Konshens,JM
One Man Raw (feat. Vybz Kartel),,Gaza Slim,
Lady (Hear Me Tonight),Pop,Modjo,FR
Every Word (feat. Daniella) - Wendel Kos Radio Edit,,Ercola,
Swoon,"Dance,Electronic",The Chemical Brothers,GB
Infinity - Klaas Vocal Mix,Dance,Guru Josh Project,JE
Make Your Move - Radio Edit,Dance,Dave Armstrong,CA
"Harder, Better, Faster, Stronger",Dance,Daft Punk,FR
In White Rooms,Electronic,Booka Shade,DE
Starry Eyed Surprise,,Paul Oakenfold,GB
Heads Will Roll - A-Trak Remix Radio Edit,Alternative,Yeah Yeah Yeahs,US
Halcyon and On and On,Electronic,Orbital,GB
Don't Call Me Baby,House,Madison Avenue,AU
Rocker,"Dance,Electronic",Alter Ego,
Around the World,"Rock,Dance,Music",Daft Punk,FR
Body Language,,M.A.N.D.Y.,DE
Flashback,Dance,Calvin Harris,GB
The Longest Road (feat. Lissie) - Deadmau5 Remix Edit,,Morgan Page,
Go,"Music,Electronic",Moby,US
I Remember (Strobelight Edit),,deadmau5,
Heartbroken - Edit,,T2,
One More Time,"Electronic,Dance",Daft Punk,FR
Hey Boy Hey Girl,"Breakbeat,Electronic",The Chemical Brothers,GB
Fire,"Dance,Electronic",Ferry Corsten,NL
Gypsy Woman,,Crystal Waters,US
Day 'N' Night - Club Mix,,Kid Cudi,
Sorry - Dirty South Radio Edit,Dance,Kaskade,US
The Girl You Lost to Cocaine - Sander van Doorn Edit,Dance,Sia,PT
Ur,,Ti�sto,
Tracking Treasure Down,,Gabriel & Dresden,US
Baba O'Riley (Radio Edit),Dance,The Cube Guys,
Star 69 - Timo Maas Mix,"Bebop,House,Dance,Electronic",Fatboy Slim,GB
Ready Steady Go - Extended Mix,,Paul Oakenfold,GB
Only One (Radio Edit),"Dance,Electronic",Chris Lake,
Call On Me - Radio Edit,Dance,Eric Prydz,SE
Freed from Desire,"Dance,Pop",Gala,IT
With Every Heartbeat - with Kleerup - Tong and Spoon Wonderland Remix,,Robyn,
Love Has Gone - Fonzerelli Remix,,Dave Armstrong,CA
It's Too Late - Dirty South,,Evermore Vs. Dirty South,
Deep At Night (Adam K & Soha Radio Mix),,Ercola,
Changed the Way You Kiss Me - Radio Edit,Dance,Example,GB
Pjanoo - Radio Edit,Dance,Eric Prydz,SE
Deep Inside,Dance,Hardrive,
I Found U - Radio Edit,"Dance,Pop",Axwell,SE
Move For Me,Dance,Kaskade,US
Underlying Feeling - Adam K & Soha Radio Edit,Dance,Sylvia Tosun,
Heartbreak - Radio Edit,Dance,M'Black,GB
Missing - Todd Terry Club Mix / US Radio Edit,Pop,Everything But The Girl,GB
Army Of Two - Radio Version,,UMEK,SI
Let Me Think About It,"Dance,Pop",Ida Corr,DK
Girlfriend - 2008 Remix,Dance,Robbie Rivera,
Everything,"Music,Dance",Moby,US
Cafe Del Mar - Radio Edit,Trance,Paul Oakenfold,GB
Step One Two,Dance,Kaskade,US
Insomnia - Radio Edit,,Faithless,GB
Put Your Hands Up for Detroit - MC Mario Edit,,Fedde Le Grand,NL
Push The Feeling On - Mk Dub Revisited Edit,,Nightcrawlers,
Beautiful,Dance,Ferry Corsten,
Carry Me Away (feat. Emma Hewitt) - Radio Edit,Dance,Chris Lake,
Together - Radio Edit,,Axwell,SE
Crush - Radio Dance Edit,Dance,M'Black,GB
Cry For You,,September,SE
Shadows - Inpetto Edit,Dance,Those Usual Suspects,
Me and Myself (Wolfgang Gartner Radio Edit),,Bendj Feat Sushy,
The Big Fake,,Traffic Signs,
Satisfaction,"Electronic,Latin",Benny Benassi,IT
Sweet Misery,,Ti�sto,NL
Disconnected - Radio Edit Dub Mix,,Mischa Daniels,
Release Me,Pop,Agnes,
Strange Condition - Inpetto Radio Edit,"Dance,Electronic",Morgan Page,
Hot - UK Radio Edit,Dance,INNA,RO
Put `em Up,,Edun,RU
Everything - Radio Edit,,Ron Reeser,
Love Don't Let Me Go (Walking Away) (David Guetta vs. The Egg),Pop,David Guetta,
Medicine,,Kim Leoni,
For an Angel 2009 - Radio Mix '09,Pop,Paul van Dyk,DE
